source,target,value
Barry Smith,src/dm/impls/da/grvtk.c,1.0
Barry Smith,src/dm/impls/plex/plexvtk.c,3.6
Barry Smith,src/dm/impls/plex/plex.c,0.96
Barry Smith,config/install.py,2.61
Barry Smith,src/dm/impls/network/network.c,2.0
Barry Smith,src/snes/examples/tutorials/network/power/power.c,0.67
Barry Smith,src/snes/examples/tutorials/network/power/power2.c,0.86
Barry Smith,include/petscdmnetwork.h,0.5
Barry Smith,src/snes/examples/tutorials/network/power/power.h,0.8
Barry Smith,src/snes/examples/tutorials/network/water/water.h,0.8
Barry Smith,src/snes/examples/tutorials/network/water/waterfunctions.c,0.83
Barry Smith,src/ts/examples/tutorials/network/wash/pipes1.c,0.92
Barry Smith,src/mat/examples/tests/ex72.c,0.54
Barry Smith,src/sys/utils/pdisplay.c,0.94
Barry Smith,src/vec/vec/impls/mpi/pbvec.c,5.63
Barry Smith,src/dm/impls/plex/plexexodusii.c,0.75
Barry Smith,src/dm/impls/plex/plexhdf5.c,3.5
Barry Smith,src/docs/website/documentation/changes/dev.html,9.19
Barry Smith,src/ksp/pc/impls/bddc/bddcprivate.c,1.0
Barry Smith,src/mat/examples/tests/ex192.c,1.0
Barry Smith,src/snes/examples/tutorials/ex69.c,0.93
Barry Smith,src/sys/dll/dl.c,0.87
Barry Smith,src/sys/dll/reg.c,10.0
Barry Smith,src/sys/fileio/grpath.c,0.95
Barry Smith,src/tao/constrained/examples/tutorials/maros.c,2.61
Barry Smith,src/snes/examples/tutorials/ex12.c,2.71
Barry Smith,src/snes/examples/tutorials/ex77.c,0.5
Barry Smith,src/mat/impls/baij/seq/baij2.c,1.52
Barry Smith,src/mat/impls/baij/seq/baijfact2.c,2.61
Barry Smith,src/vec/vec/impls/seq/dvec2.c,0.77
Barry Smith,bin/FASTMathInstaller.py,3.94
Barry Smith,bin/configVars.py,0.89
Barry Smith,bin/maint/confignightly/default,1.75
Barry Smith,bin/maint/findvisibleprivatefunctions,1.73
Barry Smith,bin/maint/gcov.py,2.91
Barry Smith,bin/maint/runhtml.py,0.92
Barry Smith,bin/maint/toclapack.sh,0.75
Barry Smith,bin/parseargs.py,2.0
Barry Smith,config/BuildSystem/config/packages/MPI.py,0.45
Barry Smith,config/configure.py,0.18
Barry Smith,config/examples/arch-mswin-borland.py,0.52
Barry Smith,config/gmakegentest.py,1.87
Barry Smith,src/sys/mpiuni/makefile,0.75
Barry Smith,src/sys/utils/makefile,0.75
Barry Smith,src/dm/examples/tests/ex36.c,15.0
Barry Smith,src/ts/examples/tutorials/hybrid/ex1fd.c,1.95
Barry Smith,src/mat/examples/tests/ex88.c,1.71
Barry Smith,src/mat/examples/tests/ex75.c,2.3
Barry Smith,src/ts/examples/tutorials/eimex/allen_cahn.c,4.52
Barry Smith,src/ts/examples/tutorials/ex31.c,10.55
Oana Marin,src/tao/unconstrained/examples/tutorials/burgers_spectral.c,10.32
Oana Marin,src/ts/examples/tutorials/spectral-toy/adjointreads.m,6.73
Oana Marin,src/ts/examples/tutorials/spectral-toy/makefile,2.81
Junchao Zhang,include/petsc/private/vecimpl.h,1.59
Junchao Zhang,src/vec/vec/utils/vpscat.c,24.74
